id,created,updated,five_why_response_id,flash_report_id,root_cause_detail_id,action_id,filename,extension,shared_learning_id,feedback_id
188,2022-10-11 03:15:39.967146+00,2022-10-11 03:16:59.44973+00,\N,\N,\N,\N,flash_report_760dca68-f028-4786-a22e-5e4e00924562.jpeg,.jpeg,\N,
189,2022-10-11 03:16:59.454308+00,2022-10-11 03:16:59.454347+00,\N,75,\N,\N,flash_report_906891ea-e6c4-4abd-a0f0-86e1ed1dcf59.jpeg,.jpeg,\N,
190,2022-10-11 03:21:53.565053+00,2022-10-11 03:21:53.565083+00,119,\N,\N,\N,five_why_7ec06ae8-412b-43c3-8ce2-e0e7fbd57dd4.jpeg,.jpeg,\N,
191,2022-10-11 08:48:10.756863+00,2022-10-11 08:48:10.756899+00,\N,\N,\N,\N,shared_learning_6d039a52-74c8-4efb-9bd3-fe80693bc51d.jpeg,.jpeg,36,
192,2022-10-11 14:00:59.498679+00,2022-10-11 14:00:59.49871+00,\N,76,\N,\N,flash_report_f33fd377-35e4-430f-a5a7-4345039c5777.jpeg,.jpeg,\N,
193,2022-10-12 01:45:11.176206+00,2022-10-12 01:45:11.176243+00,\N,77,\N,\N,flash_report_80b3137e-2849-4988-a2b6-7bd51d866f74.jpeg,.jpeg,\N,
194,2022-10-14 05:31:59.304669+00,2022-10-14 05:31:59.304707+00,\N,78,\N,\N,flash_report_2ce44aa0-907e-427e-90c8-b2c4cea04079.jpeg,.jpeg,\N,
195,2022-10-14 06:49:43.356249+00,2022-10-14 06:49:43.356279+00,\N,79,\N,\N,flash_report_dee94ec2-e436-4b30-9694-0de5977f2d5a.jpeg,.jpeg,\N,
196,2022-10-14 07:17:54.521106+00,2022-10-14 07:17:54.521134+00,\N,80,\N,\N,flash_report_469e4761-e25b-4bd1-8c1b-cbed6829751f.jpeg,.jpeg,\N,
197,2022-10-16 02:38:00.707163+00,2022-10-16 02:38:00.70719+00,\N,81,\N,\N,flash_report_5bcdc6bb-be07-49e0-9b24-b538b32e8767.jpeg,.jpeg,\N,
