id,created,updated,title,tab_title,tab_number,tab_type,tableau_url,location_id,aplus_date_range,aplus_site,aplus_area,rems_site,rems_fleet_type,rems_date_range
232,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Loaders FLOC DT Pareto,CB Loaders FLOC DT Pareto,2,2,,48,,,,Cloudbreak,Wheel Loader,30 Days
140,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB OPF 30 Day DT,CB OPF 30 Day DT,3,3,,34,30 Days,Cloudbreak,CB OPF,,,
145,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB OPF Idlers,CB OPF Idlers,8,1,https://analytics.fmgl.com.au/t/sandbox/views/CBOPFIdlers/CBOPFIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,34,,,,,,
138,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB OPF Summary ,CB OPF Summary ,1,1,https://analytics.fmgl.com.au/t/sandbox/views/CBOPFSummary/CBOPFSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,
139,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB OPF Weekly TUM,CB OPF Weekly TUM,2,1,https://analytics.fmgl.com.au/t/sandbox/views/CBOPFWeeklyTUM/CBOPFWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,
143,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB TLO 30 Day DT,CB TLO 30 Day DT,6,3,,34,30 Days,Cloudbreak,CB Stockyard,,,
146,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB TLO Idlers,CB TLO Idlers,9,1,https://analytics.fmgl.com.au/t/sandbox/views/CBTLOIdlers/CBTLOIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,34,,,,,,
141,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB TLO Summary,CB TLO Summary,4,1,https://analytics.fmgl.com.au/t/sandbox/views/CBTLOSummary/CBTLOSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,
142,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB TLO Weekly TUM,CB TLO Weekly TUM,5,1,https://analytics.fmgl.com.au/t/sandbox/views/CBTLOWeeklyTUM/CBTLOWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,
144,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Watchlist,CB Watchlist,7,1,https://analytics.fmgl.com.au/t/sandbox/views/CBOPFWatchlist/CBOPFWatchlist?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,
